modelId,type,inst,name,stateCode,stateLabel
belimo-6-way-epiv-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not mentioned in the enumeration are not used for this actuator range Error flow sensor: Error with the flow sensor Actuator can’t move: Mechanical overload due to blocked valve, etc. Flow with closed valve: Flow is measured but position of valve is closed (Dead Band) Airbubbles: Airbubbles in the hydronic system. As long as there are airbubbles in the system, position control mode is active, regardless off control mode setting (Register No. 117). Flow not reached: Setpoint cannot be reached within 3min during flow control Gear disengaged active: Gear disengaged button is pressed",3,Actuator cannot move Bit
belimo-6-way-epiv-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not mentioned in the enumeration are not used for this actuator range Error flow sensor: Error with the flow sensor Actuator can’t move: Mechanical overload due to blocked valve, etc. Flow with closed valve: Flow is measured but position of valve is closed (Dead Band) Airbubbles: Airbubbles in the hydronic system. As long as there are airbubbles in the system, position control mode is active, regardless off control mode setting (Register No. 117). Flow not reached: Setpoint cannot be reached within 3min during flow control Gear disengaged active: Gear disengaged button is pressed",4,Flow with closed valve Bit
belimo-6-way-epiv-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not mentioned in the enumeration are not used for this actuator range Error flow sensor: Error with the flow sensor Actuator can’t move: Mechanical overload due to blocked valve, etc. Flow with closed valve: Flow is measured but position of valve is closed (Dead Band) Airbubbles: Airbubbles in the hydronic system. As long as there are airbubbles in the system, position control mode is active, regardless off control mode setting (Register No. 117). Flow not reached: Setpoint cannot be reached within 3min during flow control Gear disengaged active: Gear disengaged button is pressed",5,Airbubbles Bit
belimo-6-way-epiv-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not mentioned in the enumeration are not used for this actuator range Error flow sensor: Error with the flow sensor Actuator can’t move: Mechanical overload due to blocked valve, etc. Flow with closed valve: Flow is measured but position of valve is closed (Dead Band) Airbubbles: Airbubbles in the hydronic system. As long as there are airbubbles in the system, position control mode is active, regardless off control mode setting (Register No. 117). Flow not reached: Setpoint cannot be reached within 3min during flow control Gear disengaged active: Gear disengaged button is pressed",6,Flow not reached Bit
belimo-6-way-epiv-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not mentioned in the enumeration are not used for this actuator range Error flow sensor: Error with the flow sensor Actuator can’t move: Mechanical overload due to blocked valve, etc. Flow with closed valve: Flow is measured but position of valve is closed (Dead Band) Airbubbles: Airbubbles in the hydronic system. As long as there are airbubbles in the system, position control mode is active, regardless off control mode setting (Register No. 117). Flow not reached: Setpoint cannot be reached within 3min during flow control Gear disengaged active: Gear disengaged button is pressed",9,Gear disengaged
belimo-6-way-epiv-modbus,MB,116,Control Mode,0,Position control
belimo-6-way-epiv-modbus,MB,116,Control Mode,1,Flow control Default: Flow control(1)
belimo-6-way-epiv-modbus,MB,117,Unit Selection Flow,0,m3/s
belimo-6-way-epiv-modbus,MB,117,Unit Selection Flow,1,m3/h
belimo-6-way-epiv-modbus,MB,117,Unit Selection Flow,2,l/s
belimo-6-way-epiv-modbus,MB,117,Unit Selection Flow,3,l/min
belimo-6-way-epiv-modbus,MB,117,Unit Selection Flow,4,l/h
belimo-6-way-epiv-modbus,MB,117,Unit Selection Flow,5,gpm
belimo-6-way-epiv-modbus,MB,117,Unit Selection Flow,6,cfm Default: l/h(4)
belimo-6-way-epiv-modbus,MB,118,Setpoint Source Analog: Setpoint from analog signal 0...10 V on wire 3 Bus: Setpoint from Modbus (Register 1),0,Analog
belimo-6-way-epiv-modbus,MB,118,Setpoint Source Analog: Setpoint from analog signal 0...10 V on wire 3 Bus: Setpoint from Modbus (Register 1),1,Bus Default: Analog(0)
belimo-air-water-actuator-modbus,MB,1,Override Control Override setpoint with defined values,0,None
belimo-air-water-actuator-modbus,MB,1,Override Control Override setpoint with defined values,1,Open
belimo-air-water-actuator-modbus,MB,1,Override Control Override setpoint with defined values,2,Close
belimo-air-water-actuator-modbus,MB,1,Override Control Override setpoint with defined values,3,Min
belimo-air-water-actuator-modbus,MB,1,Override Control Override setpoint with defined values,4,Mid
belimo-air-water-actuator-modbus,MB,1,Override Control Override setpoint with defined values,5,Max Default: None(0)
belimo-air-water-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",0,None
belimo-air-water-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",1,Adaption
belimo-air-water-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",2,Test
belimo-air-water-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",3,Sync
belimo-air-water-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",4,Reset Default: None(0)
belimo-air-water-actuator-modbus,MB,3,Actuator Type,0,Actuator not connected
belimo-air-water-actuator-modbus,MB,3,Actuator Type,1,Air / Water
belimo-air-water-actuator-modbus,MB,3,Actuator Type,2,VAV / EPIV
belimo-air-water-actuator-modbus,MB,3,Actuator Type,3,Fire
belimo-air-water-actuator-modbus,MB,3,Actuator Type,4,Energy Valve
belimo-air-water-actuator-modbus,MB,3,Actuator Type,5,6way EPIV
belimo-air-water-actuator-modbus,MB,99,Bus Termination Indicates if bus termination (120 Ω) is enabled Bus termination can be set with the configuration tools,0,inactive
belimo-air-water-actuator-modbus,MB,99,Bus Termination Indicates if bus termination (120 Ω) is enabled Bus termination can be set with the configuration tools,1,active Default: inactive(0)
belimo-air-water-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",1,Mech travel increased Bit
belimo-air-water-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",2,Actuator cannot move Bit
belimo-air-water-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",8,Internal activity Bit
belimo-air-water-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",9,Gear disengaged Bit
belimo-air-water-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",10,Bus Watchdog triggered
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,0,None
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,1,Active / Hybrid
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,2,Passive 1K _
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,3,Passive 20K _
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,4,Switch
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,5,PT1000 C _
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,6,NI1000 C _
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,7,NTC10K C _
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,8,PT1000 F _
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,9,NI1000 F _
belimo-air-water-actuator-modbus,MB,107,Sensor 1 Type If Setpoint Source (Register 119) is analog (Hybrid mode) the sensor type 1 can be set to Active(1) in order to see the Setpoint Analog in mV,10,NTC10K F _
belimo-air-water-actuator-modbus,MB,108,"Bus Fail Position Modbus communication is not monitored as standard. In the event of a breakdown in communication, the actuator retains the current setpoint The bus implementation tracks the Modbus communication. If neither the Setpoint (Register No. 1) nor the Override Control (Register No. 2) is renewed before the Timeout for Bus Watchdog (Register No. 110) expires, the actuator controls to the Bus Fail Position Triggered bus watchdog is indicated in the Malfunction and Service Information (Register No. 105) In Hybrid Mode (SpSource (Register 119) = Analog) bus monitoring is not activated.",0,None / Last setpoint
belimo-air-water-actuator-modbus,MB,108,"Bus Fail Position Modbus communication is not monitored as standard. In the event of a breakdown in communication, the actuator retains the current setpoint The bus implementation tracks the Modbus communication. If neither the Setpoint (Register No. 1) nor the Override Control (Register No. 2) is renewed before the Timeout for Bus Watchdog (Register No. 110) expires, the actuator controls to the Bus Fail Position Triggered bus watchdog is indicated in the Malfunction and Service Information (Register No. 105) In Hybrid Mode (SpSource (Register 119) = Analog) bus monitoring is not activated.",1,Fast close
belimo-air-water-actuator-modbus,MB,108,"Bus Fail Position Modbus communication is not monitored as standard. In the event of a breakdown in communication, the actuator retains the current setpoint The bus implementation tracks the Modbus communication. If neither the Setpoint (Register No. 1) nor the Override Control (Register No. 2) is renewed before the Timeout for Bus Watchdog (Register No. 110) expires, the actuator controls to the Bus Fail Position Triggered bus watchdog is indicated in the Malfunction and Service Information (Register No. 105) In Hybrid Mode (SpSource (Register 119) = Analog) bus monitoring is not activated.",2,Fast open
belimo-air-water-actuator-modbus,MB,108,"Bus Fail Position Modbus communication is not monitored as standard. In the event of a breakdown in communication, the actuator retains the current setpoint The bus implementation tracks the Modbus communication. If neither the Setpoint (Register No. 1) nor the Override Control (Register No. 2) is renewed before the Timeout for Bus Watchdog (Register No. 110) expires, the actuator controls to the Bus Fail Position Triggered bus watchdog is indicated in the Malfunction and Service Information (Register No. 105) In Hybrid Mode (SpSource (Register 119) = Analog) bus monitoring is not activated.",3,Mid position (parameterized) Default: None(0)
belimo-air-water-actuator-modbus,MB,118,Setpoint Source Analog: Setpoint from analog signal 0...10 V on wire 3 Bus: Setpoint from Modbus (Register 1),0,Analog
belimo-air-water-actuator-modbus,MB,118,Setpoint Source Analog: Setpoint from analog signal 0...10 V on wire 3 Bus: Setpoint from Modbus (Register 1),1,Bus Default: Bus(1)
belimo-butterfly-valve-actuator-modbus,MB,1,Override Control Override setpoint with defined values,0,None
belimo-butterfly-valve-actuator-modbus,MB,1,Override Control Override setpoint with defined values,1,Open
belimo-butterfly-valve-actuator-modbus,MB,1,Override Control Override setpoint with defined values,2,Close
belimo-butterfly-valve-actuator-modbus,MB,1,Override Control Override setpoint with defined values,3,Min
belimo-butterfly-valve-actuator-modbus,MB,1,Override Control Override setpoint with defined values,4,Mid
belimo-butterfly-valve-actuator-modbus,MB,1,Override Control Override setpoint with defined values,5,Max Default: None(0)
belimo-butterfly-valve-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",0,None
belimo-butterfly-valve-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",1,-
belimo-butterfly-valve-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",2,Test
belimo-butterfly-valve-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",3,Sync
belimo-butterfly-valve-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",4,Reset Default: None(0)
belimo-butterfly-valve-actuator-modbus,MB,3,Actuator Type,0,Actuator not connected
belimo-butterfly-valve-actuator-modbus,MB,3,Actuator Type,1,Air / Water
belimo-butterfly-valve-actuator-modbus,MB,3,Actuator Type,2,VAV / EPIV
belimo-butterfly-valve-actuator-modbus,MB,3,Actuator Type,3,Fire
belimo-butterfly-valve-actuator-modbus,MB,3,Actuator Type,4,Energy Valve
belimo-butterfly-valve-actuator-modbus,MB,3,Actuator Type,5,6way EPIV
belimo-butterfly-valve-actuator-modbus,MB,99,Bus Termination Indicates if bus termination (120 Ω) is enabled Bus termination can be set with the configuration tools,0,inactive
belimo-butterfly-valve-actuator-modbus,MB,99,Bus Termination Indicates if bus termination (120 Ω) is enabled Bus termination can be set with the configuration tools,1,active Default: inactive(0)
belimo-butterfly-valve-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",1,Mech travel increased Bit
belimo-butterfly-valve-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",2,Actuator cannot move Bit
belimo-butterfly-valve-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",8,Internal activity Bit
belimo-butterfly-valve-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",9,Gear disengaged Bit
belimo-butterfly-valve-actuator-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Mechanical travel increased: The actuator has been moved outside the adapted working range Actuator cannot move: Mechanical overload e.g. blocked actuator, etc. Internal activity: Actuator performs a test run, adaption, etc. Gear disengaged: The gear disengaged button is pressed Bus Watchdog triggered: Timeout for the Bus Watchdog expired",10,Bus Watchdog triggered
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,0,None
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,1,Active
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,2,Passive 1K _
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,3,Passive 20K _
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,4,Switch
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,5,PT1000 C _
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,6,NI1000 C _
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,7,NTC10K C _
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,8,PT1000 F _
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,9,NI1000 F _
belimo-butterfly-valve-actuator-modbus,MB,107,Sensor 1 Type,10,NTC10K F _
belimo-butterfly-valve-actuator-modbus,MB,108,"Bus Fail Position Modbus communication is not monitored as standard. In the event of a breakdown in communication, the actuator retains the current setpoint The bus implementation tracks the Modbus communication. If neither the Setpoint (Register No. 1) nor the Override Control (Register No. 2) is renewed before the Timeout for Bus Watchdog (Register No. 110) expires, the actuator controls to the Bus Fail Position Triggered bus watchdog is indicated in the Malfunction and Service Information (Register No. 105)",0,None / Last setpoint
belimo-butterfly-valve-actuator-modbus,MB,108,"Bus Fail Position Modbus communication is not monitored as standard. In the event of a breakdown in communication, the actuator retains the current setpoint The bus implementation tracks the Modbus communication. If neither the Setpoint (Register No. 1) nor the Override Control (Register No. 2) is renewed before the Timeout for Bus Watchdog (Register No. 110) expires, the actuator controls to the Bus Fail Position Triggered bus watchdog is indicated in the Malfunction and Service Information (Register No. 105)",1,Fast close
belimo-butterfly-valve-actuator-modbus,MB,108,"Bus Fail Position Modbus communication is not monitored as standard. In the event of a breakdown in communication, the actuator retains the current setpoint The bus implementation tracks the Modbus communication. If neither the Setpoint (Register No. 1) nor the Override Control (Register No. 2) is renewed before the Timeout for Bus Watchdog (Register No. 110) expires, the actuator controls to the Bus Fail Position Triggered bus watchdog is indicated in the Malfunction and Service Information (Register No. 105)",2,Fast open
belimo-butterfly-valve-actuator-modbus,MB,108,"Bus Fail Position Modbus communication is not monitored as standard. In the event of a breakdown in communication, the actuator retains the current setpoint The bus implementation tracks the Modbus communication. If neither the Setpoint (Register No. 1) nor the Override Control (Register No. 2) is renewed before the Timeout for Bus Watchdog (Register No. 110) expires, the actuator controls to the Bus Fail Position Triggered bus watchdog is indicated in the Malfunction and Service Information (Register No. 105)",3,Mid position (parameterized) Default: None(0)
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,0,None
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,1,Active
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,2,Passive 1K _
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,3,Passive 20K _
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,4,Switch
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,5,PT1000 C _
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,6,NI1000 C _
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,7,NTC10K C _
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,8,PT1000 F _
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,9,NI1000 F _
belimo-butterfly-valve-actuator-modbus,MB,114,Sensor 2 Type,10,NTC10K F _
belimo-butterfly-valve-actuator-modbus,MB,118,Setpoint Source Analog: Setpoint from analog signal 0...10 V on wire 3 Bus: Setpoint from Modbus (Register 1),0,Analog
belimo-butterfly-valve-actuator-modbus,MB,118,Setpoint Source Analog: Setpoint from analog signal 0...10 V on wire 3 Bus: Setpoint from Modbus (Register 1),1,Bus Default: Bus(1)
belimo-cq24a-bac-modbus,MB,1,Override Control Override setpoint with defined values,0,None
belimo-cq24a-bac-modbus,MB,1,Override Control Override setpoint with defined values,1,Open
belimo-cq24a-bac-modbus,MB,1,Override Control Override setpoint with defined values,2,Close
belimo-cq24a-bac-modbus,MB,1,Override Control Override setpoint with defined values,3,-
belimo-cq24a-bac-modbus,MB,1,Override Control Override setpoint with defined values,4,-
belimo-cq24a-bac-modbus,MB,1,Override Control Override setpoint with defined values,5,Max Default: None(0)
belimo-cq24a-bac-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0)",0,None
belimo-cq24a-bac-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0)",1,Adaption
belimo-cq24a-bac-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0)",2,-
belimo-cq24a-bac-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0)",3,Sync Default: None(0)
belimo-cq24a-bac-modbus,MB,3,Actuator Type,0,Actuator not connected
belimo-cq24a-bac-modbus,MB,3,Actuator Type,1,Air / Water
belimo-cq24a-bac-modbus,MB,3,Actuator Type,2,VAV / EPIV
belimo-cq24a-bac-modbus,MB,3,Actuator Type,3,Fire
belimo-cq24a-bac-modbus,MB,3,Actuator Type,4,Energy Valve
belimo-cq24a-bac-modbus,MB,3,Actuator Type,5,6way EPIV
belimo-cq24a-bac-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Internal activity: Actuator performs a test run, adaption, etc. Bus Watchdog triggered: Timeout for the Bus Watchdog expired",8,Internal activity Bit
belimo-cq24a-bac-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not montioned in the enumeration are not used for this actuator range Internal activity: Actuator performs a test run, adaption, etc. Bus Watchdog triggered: Timeout for the Bus Watchdog expired",10,Bus Watchdog triggered
belimo-damper-actuator-modbus,MB,1,Override Control Override setpoint with defined values,0,None
belimo-damper-actuator-modbus,MB,1,Override Control Override setpoint with defined values,1,Open
belimo-damper-actuator-modbus,MB,1,Override Control Override setpoint with defined values,2,Close
belimo-damper-actuator-modbus,MB,1,Override Control Override setpoint with defined values,3,Min
belimo-damper-actuator-modbus,MB,1,Override Control Override setpoint with defined values,4,Mid
belimo-damper-actuator-modbus,MB,1,Override Control Override setpoint with defined values,5,Max Default: None(0)
belimo-damper-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",0,None
belimo-damper-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",1,-
belimo-damper-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",2,Test
belimo-damper-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",3,Sync
belimo-damper-actuator-modbus,MB,2,"Command Initiation of actuator functions for service and test After command is sent, register returns to None(0) With Reset(4) all Malfunction and Service Information (Register No. 105) Information can be reset.",4,Reset Default: None(0)
belimo-damper-actuator-modbus,MB,3,Actuator Type,0,Actuator not connected
belimo-damper-actuator-modbus,MB,3,Actuator Type,1,Air / Water
belimo-damper-actuator-modbus,MB,3,Actuator Type,2,VAV / EPIV
belimo-damper-actuator-modbus,MB,3,Actuator Type,3,Fire
belimo-damper-actuator-modbus,MB,3,Actuator Type,4,Energy Valve
